"id","name","created_at","updated_at","icon","uri"
1,"chicago soul","2018-07-03 15:41:39.177188","2018-07-05 19:44:51.934068","sing","spotify:user:thesoundsofspotify:playlist:03CnmKGrRlG2dwJSH1Q1Tg"
2,"crunk","2018-07-03 15:42:05.837685","2018-07-05 19:05:11.564543","gen","spotify:user:thesoundsofspotify:playlist:2bfQBLvjoloMK1VoWFDimL"
3,"east coast hip hop","2018-07-03 15:42:05.84942","2018-07-05 19:44:52.135692","hip-hop","spotify:user:thesoundsofspotify:playlist:61KJ6kPuE41yTp9SrHvWbZ"
4,"funk rock","2018-07-03 15:42:05.859305","2018-07-05 19:08:50.096118","rock","spotify:user:thesoundsofspotify:playlist:2v7uYvX2h5hNSukaqp9LCb"
5,"gangster rap","2018-07-03 15:42:05.8709","2018-07-05 19:10:37.214794","sing","spotify:user:thesoundsofspotify:playlist:2tzFkp6VPJPeAhFe3b5uHk"
6,"west coast rap","2018-07-03 15:42:05.881845","2018-07-05 19:12:40.093831","sing","spotify:user:thesoundsofspotify:playlist:3tSxvStT2zgdgPcTxLdI3g"
7,"louisiana blues","2018-07-03 15:42:05.89238","2018-07-05 19:07:03.324849","gen","spotify:user:thesoundsofspotify:playlist:2fvTmmnb2UbU5TWvbMolPz"
8,"outlaw country","2018-07-03 15:42:05.903218","2018-07-05 19:44:52.305526","indie","spotify:user:thesoundsofspotify:playlist:5D1IoXQGtdt84Mx8QvvSSY"
9,"texas country","2018-07-03 15:42:05.912852","2018-07-05 19:16:36.538934","indie","spotify:user:thesoundsofspotify:playlist:4HbGCzaH6bTsF1FGAESEzG"
10,"hardcore hip hop","2018-07-03 15:42:05.925553","2018-07-05 19:18:27.131703","hip-hop","spotify:user:thesoundsofspotify:playlist:0iMt55EhVZULr9oClWtyOX"
11,"dirty south rap","2018-07-03 15:42:05.936374","2018-07-05 19:20:09.738379","sing","spotify:user:thesoundsofspotify:playlist:3l6M4SAmRg9L0DlalK76H8"
12,"new orleans blues","2018-07-03 15:42:05.947621","2018-07-05 19:14:33.656507","gen","spotify:user:thesoundsofspotify:playlist:39s493vky2Qtmh3yVP2Pv6"
13,"old school hip hop","2018-07-03 15:42:05.958334","2018-07-05 19:24:12.323322","hip-hop","spotify:user:thesoundsofspotify:playlist:6MjdCkcY5tUfadaakBRINy"
14,"g funk","2018-07-03 15:42:05.969885","2018-07-05 19:25:58.495108","jazz","spotify:user:thesoundsofspotify:playlist:7c1Z3aCJLt7YisQQyXwypK"
15,"southern hip hop","2018-07-03 15:42:05.982643","2018-07-05 19:44:52.508755","hip-hop","spotify:user:thesoundsofspotify:playlist:18jT9NMRZifv6cMtK2jWD4"
16,"rhythm and blues","2018-07-03 15:42:05.995876","2018-07-05 20:46:44.584249","gen","spotify:user:thesoundsofspotify:playlist:4uSZwUcMhCdfspqtWaQGwD"
